n0,34.05267,-118.29584
n1,34.05267,-118.29477
n2,34.05267,-118.29372
n3,34.05267,-118.29268
n4,34.05266,-118.29687
n5,34.0526,-118.29789
n6,34.0526,-118.29891
n7,34.05264,-118.30744
n8,34.05267,-118.30905
n9,34.05261,-118.3
n10,34.0526,-118.30107
n11,34.0526,-118.3021
n12,34.05261,-118.30316
n13,34.0526,-118.30418
n14,34.0526,-118.30523
n15,34.0526,-118.30633
n16,34.05255,-118.29166
n17,34.05267,-118.29218
n18,34.0524,-118.28775
n19,34.0524,-118.28658
n20,34.05238,-118.28542
n21,34.05238,-118.28426
n22,34.05238,-118.28911
n23,34.05238,-118.29073
n24,34.0524,-118.29037
n25,34.05234,-118.28355
n26,34.05222,-118.2822
n27,34.05211,-118.28098
n28,34.05182,-118.28426
n29,34.0517,-118.27988
n30,34.05208,-118.28072
n31,34.0517,-118.30905
n32,34.05128,-118.28423
n33,34.05118,-118.27872
n34,34.05095,-118.29163
n35,34.05092,-118.29999
n36,34.05089,-118.30907
n37,34.0508,-118.28423
n38,34.05075,-118.29166
n39,34.05069,-118.27763
n40,34.05025,-118.28079
n41,34.0502,-118.27654
n42,34.0499,-118.30906
n43,34.04988,-118.28419
n44,34.04968,-118.27538
n45,34.04915,-118.27419
n46,34.04912,-118.29163
n47,34.04909,-118.29999
n48,34.04906,-118.28418
n49,34.04906,-118.30906
n50,34.04942,-118.30906
n51,34.04877,-118.28175
n52,34.04875,-118.27328
n53,34.04834,-118.27238
n54,34.04813,-118.30906
n55,34.04779,-118.27115
n56,34.04767,-118.27505
n57,34.04796,-118.27496
n58,34.04732,-118.27005
n59,34.04729,-118.28641
n60,34.04729,-118.28535
n61,34.04729,-118.28658
n62,34.04729,-118.28767
n63,34.04729,-118.2916
n64,34.04729,-118.28856
n65,34.04729,-118.28911
n66,34.04729,-118.28926
n67,34.04729,-118.2907
n68,34.04729,-118.29042
n69,34.04729,-118.29243
n70,34.04729,-118.29266
n71,34.04727,-118.29356
n72,34.04727,-118.29373
n73,34.04726,-118.29475
n74,34.04727,-118.28429
n75,34.04773,-118.28416
n76,34.04726,-118.29581
n77,34.04726,-118.29687
n78,34.04727,-118.29698
n79,34.04726,-118.28275
n80,34.04726,-118.29758
n81,34.04726,-118.2979
n82,34.04726,-118.29865
n83,34.04726,-118.29893
n84,34.04724,-118.28412
n85,34.04724,-118.29996
n86,34.04724,-118.30032
n87,34.04724,-118.30103
n88,34.04724,-118.30205
n89,34.04724,-118.30254
n90,34.04724,-118.30312
n91,34.04723,-118.30415
n92,34.04723,-118.30524
n93,34.04724,-118.30531
n94,34.04721,-118.30904
n95,34.04721,-118.30692
n96,34.04692,-118.27554
n97,34.04675,-118.26883
n98,34.04686,-118.26904
n99,34.04663,-118.28136
n100,34.04654,-118.30032
n101,34.04649,-118.26826
n102,34.04654,-118.26836
n103,34.04664,-118.26857
n104,34.0467,-118.26871
n105,34.04637,-118.30905
n106,34.04635,-118.27073
n107,34.04633,-118.30032
n108,34.04624,-118.27026
n109,34.04629,-118.26981
n110,34.04675,-118.26883
n111,34.04726,-118.26782
n112,34.04619,-118.27602
n113,34.04616,-118.28035
n114,34.04608,-118.28014
n115,34.04605,-118.28349
n116,34.04599,-118.27995
n117,34.04587,-118.26932
n118,34.04654,-118.26836
n119,34.04773,-118.26633
n120,34.04589,-118.27106
n121,34.04553,-118.27892
n122,34.04544,-118.30031
n123,34.04543,-118.2765
n124,34.04539,-118.30905
n125,34.04536,-118.28389
n126,34.0453,-118.28424
n127,34.04506,-118.26384
n128,34.04528,-118.2651
n129,34.04504,-118.27785
n130,34.04507,-118.27002
n131,34.04521,-118.26996
n132,34.04531,-118.2699
n133,34.04546,-118.26976
n134,34.04571,-118.26947
n135,34.04533,-118.27034
n136,34.04543,-118.27045
n137,34.04553,-118.27056
n138,34.04567,-118.27072
n139,34.04498,-118.28423
n140,34.04494,-118.28423
n141,34.04515,-118.27081
n142,34.04533,-118.27034
n143,34.04462,-118.27692
n144,34.04457,-118.30029
n145,34.04451,-118.30904
n146,34.04436,-118.26274
n147,34.04428,-118.2916
n148,34.04428,-118.29044
n149,34.04428,-118.28925
n150,34.04428,-118.28854
n151,34.04428,-118.28635
n152,34.04428,-118.29242
n153,34.04427,-118.2934
n154,34.04427,-118.29359
n155,34.04425,-118.29431
n156,34.04414,-118.27582
n157,34.04404,-118.28535
n158,34.04384,-118.27521
n159,34.04385,-118.27084
n160,34.04427,-118.27056
n161,34.04437,-118.27049
n162,34.04468,-118.27029
n163,34.04488,-118.27014
n164,34.04378,-118.30032
n165,34.04399,-118.29893
n166,34.04401,-118.29868
n167,34.0442,-118.30029
n168,34.04375,-118.28419
n169,34.0437,-118.27487
n170,34.04367,-118.26167
n171,34.04369,-118.30106
n172,34.04364,-118.2838
n173,34.04361,-118.30176
n174,34.04354,-118.30905
n175,34.04359,-118.30766
n176,34.04359,-118.30656
n177,34.04359,-118.3053
n178,34.04359,-118.30434
n179,34.04359,-118.30417
n180,34.04359,-118.30338
n181,34.04359,-118.3028
n182,34.04359,-118.30254
n183,34.04327,-118.27394
n184,34.0432,-118.28284
n185,34.043,-118.2606
n186,34.04298,-118.27786
n187,34.04283,-118.282
n188,34.0428,-118.28191
n189,34.04271,-118.28416
n190,34.04266,-118.29166
n191,34.04254,-118.3007
n192,34.0428,-118.30067
n193,34.04327,-118.30058
n194,34.04314,-118.30083
n195,34.04352,-118.30083
n196,34.04253,-118.2722
n197,34.04279,-118.27279
n198,34.04287,-118.27298
n199,34.04298,-118.27324
n200,34.04236,-118.28098
n201,34.04235,-118.27179
n202,34.04267,-118.2716
n203,34.04228,-118.25951
n204,34.04227,-118.28081
n205,34.04218,-118.26662
n206,34.04362,-118.26528
n207,34.04193,-118.27863
n208,34.04208,-118.27843
n209,34.04193,-118.25894
n210,34.04187,-118.27994
n211,34.04185,-118.30077
n212,34.04179,-118.28415
n213,34.0416,-118.25842
n214,34.04152,-118.26199
n215,34.04152,-118.27916
n216,34.04143,-118.27895
n217,34.04128,-118.25792
n218,34.04095,-118.27789
n219,34.04091,-118.25734
n220,34.04092,-118.2687
n221,34.04207,-118.27113
n222,34.04071,-118.27734
n223,34.04117,-118.25449
n224,34.04071,-118.2541
n225,34.04062,-118.27277
n226,34.041,-118.27254
n227,34.04117,-118.27398
n228,34.0406,-118.27406
n229,34.04161,-118.27387
n230,34.04202,-118.27374
n231,34.04242,-118.27357
n232,34.04277,-118.27336
n233,34.04298,-118.27324
n234,34.04334,-118.27303
n235,34.04352,-118.27288
n236,34.04062,-118.2681
n237,34.04187,-118.26696
n238,34.0405,-118.25671
n239,34.04161,-118.25491
n240,34.04085,-118.25726
n241,34.04048,-118.27689
n242,34.04013,-118.26842
n243,34.0401,-118.26334
n244,34.04008,-118.27602
n245,34.04004,-118.28522
n246,34.04004,-118.28479
n247,34.04002,-118.25336
n248,34.04004,-118.28876
n249,34.04005,-118.28828
n250,34.04004,-118.28938
n251,34.04004,-118.28638
n252,34.04004,-118.28647
n253,34.04002,-118.28963
n254,34.04002,-118.29065
n255,34.04001,-118.26678
n256,34.04001,-118.29164
n257,34.04001,-118.29239
n258,34.04001,-118.2934
n259,34.04001,-118.29437
n260,34.04001,-118.29504
n261,34.03999,-118.29626
n262,34.03999,-118.29739
n263,34.03999,-118.29822
n264,34.03999,-118.29834
n265,34.03998,-118.30029
n266,34.03998,-118.30078
n267,34.03998,-118.30177
n268,34.03998,-118.30278
n269,34.03998,-118.30336
n270,34.03998,-118.30431
n271,34.03996,-118.30528
n272,34.03998,-118.30571
n273,34.03996,-118.30655
n274,34.03996,-118.30766
n275,34.03998,-118.30785
n276,34.03995,-118.30904
n277,34.04179,-118.30905
n278,34.0399,-118.27554
n279,34.03984,-118.2841
n280,34.04002,-118.28455
n281,34.03972,-118.28381
n282,34.03972,-118.27802
n283,34.03969,-118.27515
n284,34.03963,-118.25774
n285,34.03981,-118.25757
n286,34.03955,-118.25583
n287,34.03947,-118.26559
n288,34.04111,-118.27367
n289,34.03947,-118.27414
n290,34.03946,-118.25275
n291,34.03926,-118.28279
n292,34.03923,-118.25249
n293,34.03937,-118.27188
n294,34.04013,-118.27235
n295,34.04062,-118.27277
n296,34.04085,-118.27296
n297,34.04103,-118.27306
n298,34.04123,-118.27312
n299,34.04158,-118.27309
n300,34.04246,-118.27295
n301,34.03918,-118.2735
n302,34.03966,-118.27335
n303,34.03906,-118.25818
n304,34.03908,-118.29163
n305,34.03903,-118.30031
n306,34.03932,-118.26405
n307,34.03891,-118.26428
n308,34.03886,-118.30904
n309,34.03886,-118.25494
n310,34.03876,-118.27869
n311,34.03871,-118.25192
n312,34.03859,-118.27191
n313,34.03903,-118.27179
n314,34.03931,-118.27174
n315,34.03955,-118.27177
n316,34.03979,-118.27188
